CustomerID,Churn,Tenure,TenureCohort,RiskLevel,DaySinceLastOrder,OrderCount,CashbackAmount,SatisfactionScore,Complain,CityTier,Gender,R_Score,F_Score,M_Score,RFM_Score,RFMSegment
50020,1,19.0,Mature (13-24m),STANDARD RISK,3.0,4.0,149.63,4,1,1,Female,4,4,2,10,Potential Loyalists
50021,1,0.0,New (0-3m),STANDARD RISK,7.0,7.0,161.72,3,1,3,Male,2,5,3,10,Potential Loyalists
50022,1,20.0,Mature (13-24m),STANDARD RISK,6.0,15.0,203.12,2,0,1,Female,2,5,4,11,Potential Loyalists
50023,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,116.75,3,1,3,Male,5,1,1,7,At Risk
50024,1,0.0,New (0-3m),STANDARD RISK,2.0,2.0,145.59,3,1,3,Female,5,2,2,9,At Risk
50025,1,14.0,Mature (13-24m),STANDARD RISK,3.0,1.0,206.5,2,0,1,Male,4,1,4,9,At Risk
50026,1,0.0,New (0-3m),STANDARD RISK,4.0,1.0,142.0,5,0,1,Female,3,1,2,6,Lost Customers
50027,0,8.0,Established (7-12m),STANDARD RISK,6.0,1.0,172.95,4,0,3,Male,2,1,3,6,Lost Customers
50028,0,9.0,Established (7-12m),STANDARD RISK,5.0,4.0,123.06,3,1,3,Male,2,4,1,7,At Risk
50029,0,18.0,Mature (13-24m),LOW RISK,15.0,1.0,123.48,4,0,1,Male,1,1,1,3,Lost Customers
50030,0,5.0,Growing (4-6m),MEDIUM RISK,7.0,3.0,189.98,2,0,3,Female,2,4,4,10,Potential Loyalists
50031,0,2.0,New (0-3m),STANDARD RISK,9.0,1.0,143.19,3,0,1,Male,1,1,2,4,Lost Customers
50032,0,0.0,New (0-3m),STANDARD RISK,0.0,1.0,161.32,3,0,1,Male,5,1,3,9,At Risk
50033,0,30.0,Loyal (25m+),STANDARD RISK,0.0,1.0,133.46,4,1,1,Female,5,1,1,7,At Risk
50034,0,13.0,Mature (13-24m),STANDARD RISK,11.0,2.0,208.55,2,0,3,Male,1,2,4,7,At Risk
50035,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,122.31,3,0,3,Female,5,1,1,7,At Risk
50036,0,0.0,New (0-3m),STANDARD RISK,2.0,2.0,123.23,2,0,1,Male,5,2,1,8,At Risk
50037,0,9.0,Established (7-12m),STANDARD RISK,2.0,2.0,120.24,4,0,1,Male,5,2,1,8,At Risk
50038,0,1.0,New (0-3m),STANDARD RISK,2.0,1.0,127.13,2,0,1,Male,5,1,1,7,At Risk
50039,0,30.0,Loyal (25m+),STANDARD RISK,4.0,1.0,194.39,2,1,1,Male,3,1,4,8,At Risk
50040,0,0.0,New (0-3m),STANDARD RISK,1.0,1.0,125.66,3,1,1,Male,5,1,1,7,At Risk
50041,0,23.0,Mature (13-24m),LOW RISK,4.0,4.0,299.26,4,0,1,Female,3,4,5,12,Potential Loyalists
50042,0,14.0,Mature (13-24m),STANDARD RISK,8.0,1.0,124.51,3,0,1,Male,2,1,1,4,Lost Customers
50043,0,3.0,New (0-3m),STANDARD RISK,4.0,7.0,194.19,2,0,3,Female,3,5,4,12,Potential Loyalists
50044,0,11.0,Established (7-12m),STANDARD RISK,1.0,1.0,186.86,2,0,3,Female,5,1,4,10,Potential Loyalists
50045,0,5.0,Growing (4-6m),STANDARD RISK,4.0,1.0,130.38,3,0,1,Male,3,1,1,5,Lost Customers
50046,0,0.0,New (0-3m),STANDARD RISK,1.0,1.0,130.58,4,1,1,Male,5,1,1,7,At Risk
50047,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,123.25,5,0,3,Female,5,1,1,7,At Risk
50048,0,9.0,Established (7-12m),STANDARD RISK,2.0,7.0,120.88,4,0,1,Male,5,5,1,11,Potential Loyalists
50049,0,3.0,New (0-3m),STANDARD RISK,10.0,6.0,130.72,5,0,1,Male,1,5,1,7,At Risk
50050,0,18.0,Mature (13-24m),STANDARD RISK,3.0,1.0,150.06,5,1,3,Female,4,1,2,7,At Risk
50051,0,29.0,Loyal (25m+),STANDARD RISK,2.0,2.0,142.57,5,1,1,Female,5,2,2,9,At Risk
50052,0,6.0,Growing (4-6m),MEDIUM RISK,2.0,1.0,125.0,2,0,1,Male,5,1,1,7,At Risk
50053,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,111.02,2,0,1,Male,5,1,1,7,At Risk
50054,0,19.0,Mature (13-24m),LOW RISK,7.0,15.0,204.53,5,0,3,Female,2,5,4,11,Potential Loyalists
50055,0,9.0,Established (7-12m),STANDARD RISK,1.0,2.0,122.88,2,0,1,Female,5,2,1,8,At Risk
50056,0,4.0,Growing (4-6m),MEDIUM RISK,2.0,1.0,139.29,2,1,1,Female,5,1,1,7,At Risk
50057,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,123.11,4,0,1,Female,5,1,1,7,At Risk
50058,1,4.0,Growing (4-6m),STANDARD RISK,2.0,1.0,131.4,4,1,3,Female,5,1,1,7,At Risk
50059,0,23.0,Mature (13-24m),STANDARD RISK,2.0,1.0,136.9,3,0,1,Male,5,1,1,7,At Risk
50060,0,26.0,Loyal (25m+),LOW RISK,3.0,1.0,144.5,5,0,1,Female,4,1,2,7,At Risk
50061,0,6.0,Growing (4-6m),STANDARD RISK,6.0,1.0,127.56,4,0,1,Female,2,1,1,4,Lost Customers
50062,0,13.0,Mature (13-24m),STANDARD RISK,9.0,9.0,290.33,3,0,1,Female,1,5,5,11,Potential Loyalists
50063,0,28.0,Loyal (25m+),LOW RISK,15.0,2.0,287.22,4,0,1,Male,1,2,5,8,At Risk
50064,0,7.0,Established (7-12m),STANDARD RISK,9.0,1.0,195.47,3,0,1,Male,1,1,4,6,Lost Customers
50065,0,24.0,Mature (13-24m),LOW RISK,0.0,2.0,237.34,4,0,1,Female,5,2,5,12,Potential Loyalists
50066,0,25.0,Loyal (25m+),STANDARD RISK,9.0,11.0,299.99,3,0,1,Male,1,5,5,11,Potential Loyalists
50067,0,9.0,Established (7-12m),STANDARD RISK,3.0,1.0,122.79,4,0,1,Female,4,1,1,6,Lost Customers
50068,1,0.0,New (0-3m),STANDARD RISK,1.0,1.0,159.16,3,1,1,Male,5,1,3,9,At Risk
50069,0,9.0,Established (7-12m),STANDARD RISK,2.0,2.0,120.89,2,0,1,Male,5,2,1,8,At Risk
50070,0,18.0,Mature (13-24m),STANDARD RISK,8.0,11.0,267.92,2,0,1,Male,2,5,5,12,Potential Loyalists
50071,0,10.0,Established (7-12m),STANDARD RISK,7.0,1.0,135.64,5,1,1,Male,2,1,1,4,Lost Customers
50072,0,8.0,Established (7-12m),STANDARD RISK,2.0,1.0,144.25,4,0,1,Female,4,1,2,7,At Risk
50073,0,15.0,Mature (13-24m),STANDARD RISK,2.0,1.0,152.65,3,0,1,Female,4,1,2,7,At Risk
50074,0,11.0,Established (7-12m),STANDARD RISK,0.0,1.0,165.53,3,0,1,Male,5,1,3,9,At Risk
50075,0,11.0,Established (7-12m),STANDARD RISK,7.0,1.0,162.61,2,0,1,Male,2,1,3,6,Lost Customers
50076,0,0.0,New (0-3m),STANDARD RISK,0.0,2.0,142.98,5,0,1,Male,5,2,2,9,At Risk
50077,0,22.0,Mature (13-24m),STANDARD RISK,7.0,1.0,168.04,2,1,1,Male,2,1,3,6,Lost Customers
50078,0,7.0,Established (7-12m),STANDARD RISK,0.0,2.0,138.15,3,1,1,Male,5,2,1,8,At Risk
50079,0,13.0,Mature (13-24m),STANDARD RISK,7.0,3.0,127.41,2,1,1,Male,2,4,1,7,At Risk
50080,1,1.0,New (0-3m),STANDARD RISK,0.0,1.0,166.73,5,1,1,Male,5,1,3,9,At Risk
50081,1,0.0,New (0-3m),STANDARD RISK,9.0,1.0,176.39,2,0,3,Female,1,1,4,6,Lost Customers
50082,0,0.0,New (0-3m),STANDARD RISK,2.0,2.0,123.28,4,1,1,Male,4,2,1,7,At Risk
50083,0,9.0,Established (7-12m),STANDARD RISK,7.0,1.0,121.53,2,0,1,Female,2,1,1,4,Lost Customers
50084,0,13.0,Mature (13-24m),STANDARD RISK,2.0,1.0,148.76,2,0,1,Male,4,1,2,7,At Risk
50085,0,19.0,Mature (13-24m),LOW RISK,3.0,1.0,193.96,5,0,1,Male,4,1,4,9,At Risk
50086,1,0.0,New (0-3m),STANDARD RISK,8.0,9.0,204.0,2,0,3,Male,2,5,4,11,Potential Loyalists
50087,0,3.0,New (0-3m),STANDARD RISK,8.0,5.0,184.74,3,0,1,Male,2,5,4,11,Potential Loyalists
50088,0,0.0,New (0-3m),STANDARD RISK,7.0,1.0,199.81,3,0,3,Female,2,1,4,7,At Risk
50089,0,24.0,Mature (13-24m),LOW RISK,3.0,4.0,224.9,4,0,1,Male,4,4,5,13,Loyal Customers
50090,1,0.0,New (0-3m),STANDARD RISK,4.0,1.0,126.57,5,1,1,Female,3,1,1,5,Lost Customers
50091,0,14.0,Mature (13-24m),STANDARD RISK,0.0,2.0,235.91000000000005,2,1,3,Female,5,2,5,12,Potential Loyalists
50092,1,0.0,New (0-3m),STANDARD RISK,1.0,1.0,166.96,5,0,3,Female,5,1,3,9,At Risk
50093,1,9.0,Established (7-12m),STANDARD RISK,5.0,1.0,120.58,3,0,1,Male,2,1,1,4,Lost Customers
50094,0,18.0,Mature (13-24m),STANDARD RISK,8.0,12.0,188.65,2,0,3,Female,2,5,4,11,Potential Loyalists
50095,0,27.0,Loyal (25m+),LOW RISK,5.0,1.0,159.4,5,0,3,Female,2,1,3,6,Lost Customers
50096,0,9.0,Established (7-12m),STANDARD RISK,7.0,3.0,159.14,4,0,1,Male,2,4,3,9,At Risk
50097,0,6.0,Growing (4-6m),STANDARD RISK,1.0,1.0,126.22,4,0,1,Female,5,1,1,7,At Risk
50098,0,10.0,Established (7-12m),STANDARD RISK,3.0,1.0,221.85,2,1,1,Male,4,1,5,10,Potential Loyalists
50099,0,11.0,Established (7-12m),STANDARD RISK,13.0,5.0,206.09,3,0,3,Male,1,5,4,10,Potential Loyalists
50100,0,4.0,Growing (4-6m),STANDARD RISK,4.0,1.0,143.45,3,0,1,Male,3,1,2,6,Lost Customers
50101,0,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,121.77,2,0,1,Male,5,1,1,7,At Risk
50102,0,10.0,Established (7-12m),STANDARD RISK,8.0,5.0,0.0,2,0,3,Male,2,5,1,8,At Risk
50103,0,2.0,New (0-3m),STANDARD RISK,1.0,4.0,179.18,2,0,3,Female,5,4,4,13,Loyal Customers
50104,0,8.0,Established (7-12m),STANDARD RISK,8.0,1.0,187.89,3,0,3,Female,2,1,4,7,At Risk
50105,1,0.0,New (0-3m),CRITICAL RISK,1.0,1.0,123.89,2,1,1,Male,5,1,1,7,At Risk
50106,0,25.0,Loyal (25m+),STANDARD RISK,2.0,2.0,132.12,2,0,1,Female,4,2,1,7,At Risk
50107,0,15.0,Mature (13-24m),STANDARD RISK,15.0,11.0,292.32,2,0,1,Male,1,5,5,11,Potential Loyalists
50108,0,9.0,Established (7-12m),STANDARD RISK,2.0,2.0,122.67,3,0,2,Male,4,2,1,7,At Risk
50109,0,23.0,Mature (13-24m),STANDARD RISK,6.0,1.0,295.17,2,0,3,Female,2,1,5,8,At Risk
50110,1,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,124.36,2,1,1,Male,3,1,1,5,Lost Customers
50111,0,16.0,Mature (13-24m),STANDARD RISK,9.0,2.0,260.64,2,1,3,Female,1,2,5,8,At Risk
50112,1,0.0,New (0-3m),STANDARD RISK,7.0,1.0,127.07,5,0,1,Female,2,1,1,4,Lost Customers
50113,0,25.0,Loyal (25m+),STANDARD RISK,12.0,15.0,290.68,3,1,3,Male,1,5,5,11,Potential Loyalists
50114,0,5.0,Growing (4-6m),STANDARD RISK,2.0,1.0,139.31,4,0,3,Female,4,1,1,6,Lost Customers
50115,1,0.0,New (0-3m),STANDARD RISK,2.0,1.0,137.3,3,1,1,Male,4,1,1,6,Lost Customers
50116,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,122.32,3,0,1,Female,4,1,1,6,Lost Customers
50117,0,5.0,Growing (4-6m),MEDIUM RISK,2.0,2.0,144.65,2,0,3,Male,4,2,2,8,At Risk
50118,0,14.0,Mature (13-24m),LOW RISK,0.0,1.0,130.72,5,0,1,Male,5,1,1,7,At Risk
50119,0,13.0,Mature (13-24m),STANDARD RISK,7.0,4.0,133.19,2,0,1,Male,2,4,1,7,At Risk
50120,0,18.0,Mature (13-24m),STANDARD RISK,7.0,1.0,292.02,2,0,1,Male,2,1,5,8,At Risk
50121,0,4.0,Growing (4-6m),STANDARD RISK,2.0,2.0,236.75,3,0,1,Male,4,2,5,11,Potential Loyalists
50122,0,6.0,Growing (4-6m),MEDIUM RISK,2.0,1.0,129.11,2,0,1,Female,4,1,1,6,Lost Customers
50123,0,7.0,Established (7-12m),STANDARD RISK,9.0,5.0,159.57,5,0,1,Male,1,5,3,9,At Risk
50124,0,10.0,Established (7-12m),STANDARD RISK,2.0,1.0,139.2,5,0,1,Female,4,1,1,6,Lost Customers
50125,0,18.0,Mature (13-24m),STANDARD RISK,2.0,1.0,164.34,3,0,1,Male,4,1,3,8,At Risk
50126,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,200.48,3,0,1,Male,5,1,4,10,Potential Loyalists
50127,0,12.0,Established (7-12m),STANDARD RISK,3.0,11.0,209.38,3,0,1,Female,4,5,5,14,Loyal Customers
50128,0,2.0,New (0-3m),STANDARD RISK,5.0,1.0,123.4,2,0,1,Male,2,1,1,4,Lost Customers
50129,0,15.0,Mature (13-24m),STANDARD RISK,2.0,1.0,165.45,5,1,1,Female,4,1,3,8,At Risk
50130,0,2.0,New (0-3m),STANDARD RISK,2.0,1.0,169.31,2,0,3,Male,4,1,3,8,At Risk
50131,0,0.0,New (0-3m),STANDARD RISK,2.0,1.0,148.98,3,0,1,Female,4,1,2,7,At Risk
50132,0,15.0,Mature (13-24m),STANDARD RISK,8.0,7.0,125.93,5,1,1,Female,2,5,1,8,At Risk
50133,0,13.0,Mature (13-24m),STANDARD RISK,9.0,3.0,294.36,3,0,1,Male,1,4,5,10,Potential Loyalists
50134,0,24.0,Mature (13-24m),STANDARD RISK,0.0,1.0,127.23,2,0,1,Male,5,1,1,7,At Risk
50135,1,0.0,New (0-3m),STANDARD RISK,4.0,1.0,134.79,4,0,1,Male,3,1,1,5,Lost Customers
50136,0,5.0,Growing (4-6m),STANDARD RISK,3.0,1.0,127.94,4,0,1,Male,4,1,1,6,Lost Customers
50137,0,11.0,Established (7-12m),STANDARD RISK,5.0,7.0,152.49,2,0,3,Male,2,5,2,9,At Risk
50138,0,9.0,Established (7-12m),STANDARD RISK,4.0,1.0,121.76,5,0,1,Male,3,1,1,5,Lost Customers
50139,0,19.0,Mature (13-24m),STANDARD RISK,7.0,7.0,268.72,4,1,3,Female,2,5,5,12,Potential Loyalists
50140,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,134.85,3,0,1,Male,5,1,1,7,At Risk
50141,0,2.0,New (0-3m),STANDARD RISK,0.0,1.0,166.44,4,0,3,Male,5,1,3,9,At Risk
50142,0,4.0,Growing (4-6m),MEDIUM RISK,8.0,7.0,155.82,2,0,1,Male,2,5,3,10,Potential Loyalists
50143,0,0.0,New (0-3m),STANDARD RISK,5.0,1.0,140.0,5,0,1,Male,2,1,1,4,Lost Customers
50144,0,18.0,Mature (13-24m),STANDARD RISK,10.0,2.0,234.96,2,1,1,Male,1,2,5,8,At Risk
50145,0,9.0,Established (7-12m),STANDARD RISK,11.0,10.0,132.1,2,0,1,Male,1,5,1,7,At Risk
50146,0,28.0,Loyal (25m+),STANDARD RISK,13.0,4.0,290.45,5,1,1,Male,1,4,5,10,Potential Loyalists
50147,1,10.0,Established (7-12m),STANDARD RISK,3.0,9.0,218.49,4,1,1,Male,4,5,5,14,Loyal Customers
50148,0,9.0,Established (7-12m),STANDARD RISK,4.0,1.0,120.7,2,0,1,Male,3,1,1,5,Lost Customers
50149,0,10.0,Established (7-12m),STANDARD RISK,1.0,1.0,165.02,2,0,3,Male,5,1,3,9,At Risk
50150,0,0.0,New (0-3m),STANDARD RISK,0.0,1.0,132.3,3,0,1,Male,5,1,1,7,At Risk
50151,0,10.0,Established (7-12m),STANDARD RISK,2.0,2.0,236.03,2,1,1,Female,4,2,5,11,Potential Loyalists
50152,0,2.0,New (0-3m),STANDARD RISK,3.0,6.0,219.96,4,0,1,Female,4,5,5,14,Loyal Customers
50153,0,11.0,Established (7-12m),STANDARD RISK,7.0,7.0,156.05,5,1,3,Female,2,5,3,10,Potential Loyalists
50154,0,0.0,New (0-3m),STANDARD RISK,4.0,1.0,163.97,4,0,1,Female,3,1,3,7,At Risk
50155,0,23.0,Mature (13-24m),LOW RISK,6.0,1.0,291.44,4,0,1,Male,2,1,5,8,At Risk
50156,0,26.0,Loyal (25m+),STANDARD RISK,3.0,1.0,275.84,3,1,1,Male,4,1,5,10,Potential Loyalists
50157,0,15.0,Mature (13-24m),STANDARD RISK,6.0,11.0,149.07,3,0,3,Male,2,5,2,9,At Risk
50158,0,2.0,New (0-3m),STANDARD RISK,9.0,1.0,145.54,2,0,3,Male,1,1,2,4,Lost Customers
50159,0,28.0,Loyal (25m+),STANDARD RISK,8.0,1.0,154.15,2,1,1,Male,2,1,3,6,Lost Customers
50160,0,0.0,New (0-3m),STANDARD RISK,3.0,3.0,147.41,5,1,1,Male,4,4,2,10,Potential Loyalists
50161,0,9.0,Established (7-12m),STANDARD RISK,7.0,5.0,121.15,2,0,1,Female,2,5,1,8,At Risk
50162,1,7.0,Established (7-12m),STANDARD RISK,0.0,1.0,131.61,3,1,1,Male,5,1,1,7,At Risk
50163,0,11.0,Established (7-12m),STANDARD RISK,2.0,1.0,157.45,2,0,1,Male,4,1,3,8,At Risk
50164,1,0.0,New (0-3m),STANDARD RISK,2.0,1.0,123.73,4,1,1,Male,4,1,1,6,Lost Customers
50165,0,1.0,New (0-3m),STANDARD RISK,2.0,1.0,133.1,2,0,1,Female,4,1,1,6,Lost Customers
50166,0,22.0,Mature (13-24m),STANDARD RISK,2.0,1.0,286.65,5,1,1,Female,4,1,5,10,Potential Loyalists
50167,0,9.0,Established (7-12m),STANDARD RISK,7.0,7.0,144.85,4,0,1,Male,2,5,2,9,At Risk
50168,0,4.0,Growing (4-6m),STANDARD RISK,2.0,2.0,127.89,4,0,3,Female,4,2,1,7,At Risk
50169,1,0.0,New (0-3m),CRITICAL RISK,4.0,7.0,158.28,2,1,3,Male,3,5,3,11,Potential Loyalists
50170,0,10.0,Established (7-12m),STANDARD RISK,2.0,1.0,123.26,2,1,1,Male,4,1,1,6,Lost Customers
50171,0,15.0,Mature (13-24m),LOW RISK,8.0,2.0,235.25,4,0,3,Female,2,2,5,9,At Risk
50172,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,114.2,3,0,1,Male,5,1,1,7,At Risk
50173,0,8.0,Established (7-12m),STANDARD RISK,9.0,6.0,180.2,4,0,3,Male,1,5,4,10,Potential Loyalists
50174,0,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,136.88,2,0,1,Male,5,1,1,7,At Risk
50175,0,24.0,Mature (13-24m),LOW RISK,2.0,1.0,154.82,4,0,1,Male,4,1,3,8,At Risk
50176,0,14.0,Mature (13-24m),LOW RISK,4.0,2.0,260.15,4,0,3,Male,3,2,5,10,Potential Loyalists
50177,0,0.0,New (0-3m),STANDARD RISK,0.0,1.0,112.0,3,0,3,Female,5,1,1,7,At Risk
50178,0,1.0,New (0-3m),STANDARD RISK,7.0,1.0,156.61,5,0,1,Male,2,1,3,6,Lost Customers
50179,0,4.0,Growing (4-6m),MEDIUM RISK,7.0,7.0,169.29,2,0,3,Male,2,5,3,10,Potential Loyalists
50180,0,12.0,Established (7-12m),STANDARD RISK,7.0,3.0,196.13,2,0,1,Male,2,4,4,10,Potential Loyalists
50181,0,9.0,Established (7-12m),STANDARD RISK,8.0,1.0,156.74,4,0,1,Female,2,1,3,6,Lost Customers
50182,0,5.0,Growing (4-6m),STANDARD RISK,8.0,4.0,154.84,3,0,3,Male,2,4,3,9,At Risk
50183,0,11.0,Established (7-12m),STANDARD RISK,3.0,1.0,220.61,4,0,1,Female,4,1,5,10,Potential Loyalists
50184,0,30.0,Loyal (25m+),STANDARD RISK,2.0,1.0,156.6,3,1,1,Male,4,1,3,8,At Risk
50185,0,4.0,Growing (4-6m),MEDIUM RISK,3.0,1.0,148.21,2,1,1,Male,4,1,2,7,At Risk
50186,0,4.0,Growing (4-6m),STANDARD RISK,0.0,1.0,164.1,5,0,2,Male,5,1,3,9,At Risk
50187,0,18.0,Mature (13-24m),LOW RISK,11.0,9.0,152.1,5,0,1,Male,1,5,2,8,At Risk
50188,0,4.0,Growing (4-6m),MEDIUM RISK,2.0,2.0,126.95,2,1,1,Male,4,2,1,7,At Risk
50189,0,6.0,Growing (4-6m),STANDARD RISK,3.0,8.0,218.78,4,0,1,Female,4,5,5,14,Loyal Customers
50190,0,12.0,Established (7-12m),STANDARD RISK,10.0,11.0,270.68,5,1,1,Male,1,5,5,11,Potential Loyalists
50191,0,16.0,Mature (13-24m),STANDARD RISK,7.0,1.0,124.55,2,0,1,Female,2,1,1,4,Lost Customers
50192,0,22.0,Mature (13-24m),STANDARD RISK,7.0,2.0,239.64,3,1,1,Female,2,2,5,9,At Risk
50193,1,15.0,Mature (13-24m),LOW RISK,7.0,7.0,149.41,4,0,1,Male,2,5,2,9,At Risk
50194,0,0.0,New (0-3m),STANDARD RISK,2.0,1.0,124.78,4,1,1,Female,4,1,1,6,Lost Customers
50195,0,5.0,Growing (4-6m),STANDARD RISK,9.0,11.0,152.28,4,1,3,Female,1,5,2,8,At Risk
50196,0,0.0,New (0-3m),STANDARD RISK,4.0,1.0,144.78,3,1,3,Male,3,1,2,6,Lost Customers
50197,0,4.0,Growing (4-6m),MEDIUM RISK,7.0,1.0,175.47,2,0,3,Male,2,1,4,7,At Risk
50198,0,5.0,Growing (4-6m),MEDIUM RISK,7.0,1.0,150.55,2,0,1,Female,2,1,2,5,Lost Customers
50199,1,0.0,New (0-3m),CRITICAL RISK,2.0,2.0,134.64,2,1,1,Male,4,2,1,7,At Risk
50200,0,3.0,New (0-3m),STANDARD RISK,9.0,1.0,157.75,2,0,1,Female,1,1,3,5,Lost Customers
50201,0,4.0,Growing (4-6m),STANDARD RISK,9.0,8.0,189.43,3,0,1,Female,1,5,4,10,Potential Loyalists
50202,0,12.0,Established (7-12m),STANDARD RISK,3.0,13.0,292.72,2,0,1,Male,4,5,5,14,Loyal Customers
50203,1,2.0,New (0-3m),STANDARD RISK,0.0,1.0,152.38,3,1,3,Female,5,1,2,8,At Risk
50204,0,6.0,Growing (4-6m),MEDIUM RISK,1.0,1.0,146.82,2,0,3,Male,5,1,2,8,At Risk
50205,0,20.0,Mature (13-24m),STANDARD RISK,1.0,1.0,283.0,3,0,1,Male,5,1,5,11,Potential Loyalists
50206,0,16.0,Mature (13-24m),STANDARD RISK,0.0,1.0,152.57,3,0,1,Female,5,1,2,8,At Risk
50207,0,0.0,New (0-3m),STANDARD RISK,4.0,1.0,163.49,4,1,3,Male,3,1,3,7,At Risk
50208,0,27.0,Loyal (25m+),STANDARD RISK,3.0,1.0,148.69,3,0,1,Female,4,1,2,7,At Risk
50209,0,16.0,Mature (13-24m),LOW RISK,0.0,1.0,199.85,5,0,1,Female,5,1,4,10,Potential Loyalists
50210,0,18.0,Mature (13-24m),STANDARD RISK,8.0,9.0,136.97,2,0,1,Male,2,5,1,8,At Risk
50211,0,13.0,Mature (13-24m),STANDARD RISK,2.0,1.0,174.57,2,1,3,Male,4,1,4,9,At Risk
50212,1,9.0,Established (7-12m),STANDARD RISK,7.0,1.0,121.19,5,1,1,Male,2,1,1,4,Lost Customers
50213,0,2.0,New (0-3m),STANDARD RISK,2.0,2.0,139.83,2,0,1,Male,4,2,1,7,At Risk
50214,0,3.0,New (0-3m),STANDARD RISK,2.0,1.0,161.18,3,0,3,Female,4,1,3,8,At Risk
50215,0,0.0,New (0-3m),STANDARD RISK,7.0,1.0,162.14,4,0,3,Female,2,1,3,6,Lost Customers
50216,0,10.0,Established (7-12m),STANDARD RISK,4.0,1.0,163.47,2,0,1,Male,3,1,3,7,At Risk
50217,0,11.0,Established (7-12m),STANDARD RISK,3.0,2.0,215.1,2,1,1,Male,4,2,5,11,Potential Loyalists
50218,0,4.0,Growing (4-6m),MEDIUM RISK,10.0,4.0,171.43,2,1,1,Female,1,4,3,8,At Risk
50219,0,2.0,New (0-3m),STANDARD RISK,7.0,1.0,182.68,4,1,3,Female,2,1,4,7,At Risk
50220,0,8.0,Established (7-12m),STANDARD RISK,13.0,1.0,180.95,4,0,1,Male,1,1,4,6,Lost Customers
50221,0,0.0,New (0-3m),STANDARD RISK,2.0,1.0,129.04,2,0,1,Male,4,1,1,6,Lost Customers
50222,0,14.0,Mature (13-24m),STANDARD RISK,2.0,1.0,160.32,4,1,1,Male,4,1,3,8,At Risk
50223,0,20.0,Mature (13-24m),STANDARD RISK,0.0,1.0,129.76,3,0,3,Male,5,1,1,7,At Risk
50224,0,15.0,Mature (13-24m),STANDARD RISK,0.0,2.0,259.92,2,0,1,Female,5,2,5,12,Potential Loyalists
