CustomerID,Churn,Tenure,TenureCohort,RiskLevel,DaySinceLastOrder,OrderCount,CashbackAmount,SatisfactionScore,Complain,CityTier,Gender
50140,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,134.85,3,0,1,Male
50141,0,2.0,New (0-3m),STANDARD RISK,0.0,1.0,166.44,4,0,3,Male
50142,0,4.0,Growing (4-6m),MEDIUM RISK,8.0,7.0,155.82,2,0,1,Male
50143,0,0.0,New (0-3m),STANDARD RISK,5.0,1.0,140.0,5,0,1,Male
50144,0,18.0,Mature (13-24m),STANDARD RISK,10.0,2.0,234.96,2,1,1,Male
50145,0,9.0,Established (7-12m),STANDARD RISK,11.0,10.0,132.1,2,0,1,Male
50146,0,28.0,Loyal (25m+),STANDARD RISK,13.0,4.0,290.45,5,1,1,Male
50147,1,10.0,Established (7-12m),STANDARD RISK,3.0,9.0,218.49,4,1,1,Male
50148,0,9.0,Established (7-12m),STANDARD RISK,4.0,1.0,120.7,2,0,1,Male
50149,0,10.0,Established (7-12m),STANDARD RISK,1.0,1.0,165.02,2,0,3,Male
50150,0,0.0,New (0-3m),STANDARD RISK,0.0,1.0,132.3,3,0,1,Male
50151,0,10.0,Established (7-12m),STANDARD RISK,2.0,2.0,236.03,2,1,1,Female
50152,0,2.0,New (0-3m),STANDARD RISK,3.0,6.0,219.96,4,0,1,Female
50153,0,11.0,Established (7-12m),STANDARD RISK,7.0,7.0,156.05,5,1,3,Female
50154,0,0.0,New (0-3m),STANDARD RISK,4.0,1.0,163.97,4,0,1,Female
50155,0,23.0,Mature (13-24m),LOW RISK,6.0,1.0,291.44,4,0,1,Male
50156,0,26.0,Loyal (25m+),STANDARD RISK,3.0,1.0,275.84,3,1,1,Male
50157,0,15.0,Mature (13-24m),STANDARD RISK,6.0,11.0,149.07,3,0,3,Male
50158,0,2.0,New (0-3m),STANDARD RISK,9.0,1.0,145.54,2,0,3,Male
50159,0,28.0,Loyal (25m+),STANDARD RISK,8.0,1.0,154.15,2,1,1,Male
50160,0,0.0,New (0-3m),STANDARD RISK,3.0,3.0,147.41,5,1,1,Male
50161,0,9.0,Established (7-12m),STANDARD RISK,7.0,5.0,121.15,2,0,1,Female
50162,1,7.0,Established (7-12m),STANDARD RISK,0.0,1.0,131.61,3,1,1,Male
50163,0,11.0,Established (7-12m),STANDARD RISK,2.0,1.0,157.45,2,0,1,Male
50164,1,0.0,New (0-3m),STANDARD RISK,2.0,1.0,123.73,4,1,1,Male
50165,0,1.0,New (0-3m),STANDARD RISK,2.0,1.0,133.1,2,0,1,Female
50166,0,22.0,Mature (13-24m),STANDARD RISK,2.0,1.0,286.65,5,1,1,Female
50167,0,9.0,Established (7-12m),STANDARD RISK,7.0,7.0,144.85,4,0,1,Male
50168,0,4.0,Growing (4-6m),STANDARD RISK,2.0,2.0,127.89,4,0,3,Female
50169,1,0.0,New (0-3m),CRITICAL RISK,4.0,7.0,158.28,2,1,3,Male
50170,0,10.0,Established (7-12m),STANDARD RISK,2.0,1.0,123.26,2,1,1,Male
50171,0,15.0,Mature (13-24m),LOW RISK,8.0,2.0,235.25,4,0,3,Female
50172,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,114.2,3,0,1,Male
50173,0,8.0,Established (7-12m),STANDARD RISK,9.0,6.0,180.2,4,0,3,Male
50174,0,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,136.88,2,0,1,Male
50175,0,24.0,Mature (13-24m),LOW RISK,2.0,1.0,154.82,4,0,1,Male
50176,0,14.0,Mature (13-24m),LOW RISK,4.0,2.0,260.15,4,0,3,Male
50177,0,0.0,New (0-3m),STANDARD RISK,0.0,1.0,112.0,3,0,3,Female
50178,0,1.0,New (0-3m),STANDARD RISK,7.0,1.0,156.61,5,0,1,Male
50179,0,4.0,Growing (4-6m),MEDIUM RISK,7.0,7.0,169.29,2,0,3,Male
50180,0,12.0,Established (7-12m),STANDARD RISK,7.0,3.0,196.13,2,0,1,Male
50181,0,9.0,Established (7-12m),STANDARD RISK,8.0,1.0,156.74,4,0,1,Female
50182,0,5.0,Growing (4-6m),STANDARD RISK,8.0,4.0,154.84,3,0,3,Male
50183,0,11.0,Established (7-12m),STANDARD RISK,3.0,1.0,220.61,4,0,1,Female
50184,0,30.0,Loyal (25m+),STANDARD RISK,2.0,1.0,156.6,3,1,1,Male
50185,0,4.0,Growing (4-6m),MEDIUM RISK,3.0,1.0,148.21,2,1,1,Male
50186,0,4.0,Growing (4-6m),STANDARD RISK,0.0,1.0,164.1,5,0,2,Male
50187,0,18.0,Mature (13-24m),LOW RISK,11.0,9.0,152.1,5,0,1,Male
50188,0,4.0,Growing (4-6m),MEDIUM RISK,2.0,2.0,126.95,2,1,1,Male
50189,0,6.0,Growing (4-6m),STANDARD RISK,3.0,8.0,218.78,4,0,1,Female
50190,0,12.0,Established (7-12m),STANDARD RISK,10.0,11.0,270.68,5,1,1,Male
50191,0,16.0,Mature (13-24m),STANDARD RISK,7.0,1.0,124.55,2,0,1,Female
50192,0,22.0,Mature (13-24m),STANDARD RISK,7.0,2.0,239.64,3,1,1,Female
50193,1,15.0,Mature (13-24m),LOW RISK,7.0,7.0,149.41,4,0,1,Male
50194,0,0.0,New (0-3m),STANDARD RISK,2.0,1.0,124.78,4,1,1,Female
50195,0,5.0,Growing (4-6m),STANDARD RISK,9.0,11.0,152.28,4,1,3,Female
50196,0,0.0,New (0-3m),STANDARD RISK,4.0,1.0,144.78,3,1,3,Male
50197,0,4.0,Growing (4-6m),MEDIUM RISK,7.0,1.0,175.47,2,0,3,Male
50198,0,5.0,Growing (4-6m),MEDIUM RISK,7.0,1.0,150.55,2,0,1,Female
50199,1,0.0,New (0-3m),CRITICAL RISK,2.0,2.0,134.64,2,1,1,Male
50200,0,3.0,New (0-3m),STANDARD RISK,9.0,1.0,157.75,2,0,1,Female
50201,0,4.0,Growing (4-6m),STANDARD RISK,9.0,8.0,189.43,3,0,1,Female
50202,0,12.0,Established (7-12m),STANDARD RISK,3.0,13.0,292.72,2,0,1,Male
50203,1,2.0,New (0-3m),STANDARD RISK,0.0,1.0,152.38,3,1,3,Female
50204,0,6.0,Growing (4-6m),MEDIUM RISK,1.0,1.0,146.82,2,0,3,Male
50205,0,20.0,Mature (13-24m),STANDARD RISK,1.0,1.0,283.0,3,0,1,Male
50206,0,16.0,Mature (13-24m),STANDARD RISK,0.0,1.0,152.57,3,0,1,Female
50207,0,0.0,New (0-3m),STANDARD RISK,4.0,1.0,163.49,4,1,3,Male
50208,0,27.0,Loyal (25m+),STANDARD RISK,3.0,1.0,148.69,3,0,1,Female
50209,0,16.0,Mature (13-24m),LOW RISK,0.0,1.0,199.85,5,0,1,Female
50210,0,18.0,Mature (13-24m),STANDARD RISK,8.0,9.0,136.97,2,0,1,Male
50211,0,13.0,Mature (13-24m),STANDARD RISK,2.0,1.0,174.57,2,1,3,Male
50212,1,9.0,Established (7-12m),STANDARD RISK,7.0,1.0,121.19,5,1,1,Male
50213,0,2.0,New (0-3m),STANDARD RISK,2.0,2.0,139.83,2,0,1,Male
50214,0,3.0,New (0-3m),STANDARD RISK,2.0,1.0,161.18,3,0,3,Female
50215,0,0.0,New (0-3m),STANDARD RISK,7.0,1.0,162.14,4,0,3,Female
50216,0,10.0,Established (7-12m),STANDARD RISK,4.0,1.0,163.47,2,0,1,Male
50217,0,11.0,Established (7-12m),STANDARD RISK,3.0,2.0,215.1,2,1,1,Male
50218,0,4.0,Growing (4-6m),MEDIUM RISK,10.0,4.0,171.43,2,1,1,Female
50219,0,2.0,New (0-3m),STANDARD RISK,7.0,1.0,182.68,4,1,3,Female
50220,0,8.0,Established (7-12m),STANDARD RISK,13.0,1.0,180.95,4,0,1,Male
50221,0,0.0,New (0-3m),STANDARD RISK,2.0,1.0,129.04,2,0,1,Male
50222,0,14.0,Mature (13-24m),STANDARD RISK,2.0,1.0,160.32,4,1,1,Male
50223,0,20.0,Mature (13-24m),STANDARD RISK,0.0,1.0,129.76,3,0,3,Male
50224,0,15.0,Mature (13-24m),STANDARD RISK,0.0,2.0,259.92,2,0,1,Female
50225,0,2.0,New (0-3m),STANDARD RISK,2.0,1.0,146.49,3,0,3,Male
50226,0,15.0,Mature (13-24m),STANDARD RISK,0.0,1.0,126.96,3,1,2,Male
50227,0,5.0,Growing (4-6m),STANDARD RISK,7.0,1.0,123.7,4,0,1,Female
50228,0,21.0,Mature (13-24m),STANDARD RISK,3.0,1.0,225.04,3,0,3,Female
50229,0,10.0,Established (7-12m),STANDARD RISK,7.0,6.0,159.74,5,1,1,Male
50230,0,3.0,New (0-3m),STANDARD RISK,2.0,2.0,147.36,3,1,3,Female
50231,0,0.0,New (0-3m),STANDARD RISK,7.0,7.0,152.96,3,0,3,Male
50232,0,15.0,Mature (13-24m),STANDARD RISK,0.0,1.0,167.81,2,0,1,Male
50233,1,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,121.74,4,1,3,Female
50234,0,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,166.53,2,0,3,Female
50235,0,9.0,Established (7-12m),STANDARD RISK,12.0,1.0,196.99,2,0,3,Male
50236,0,30.0,Loyal (25m+),STANDARD RISK,2.0,1.0,167.55,3,0,1,Male
50237,0,9.0,Established (7-12m),STANDARD RISK,7.0,1.0,122.13,3,1,1,Female
50238,0,0.0,New (0-3m),STANDARD RISK,2.0,2.0,126.1,2,0,3,Male
50239,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,128.51,3,1,3,Female
50240,0,10.0,Established (7-12m),STANDARD RISK,3.0,1.0,134.52,5,0,1,Female
50241,0,19.0,Mature (13-24m),STANDARD RISK,0.0,1.0,152.58,3,0,1,Female
50242,1,4.0,Growing (4-6m),STANDARD RISK,7.0,7.0,193.55,4,0,3,Male
50243,0,23.0,Mature (13-24m),STANDARD RISK,3.0,1.0,204.96,2,0,1,Male
50244,1,3.0,New (0-3m),STANDARD RISK,0.0,1.0,163.8,3,1,3,Male
50245,0,4.0,Growing (4-6m),STANDARD RISK,2.0,2.0,126.57,4,1,1,Male
50246,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,127.16,4,0,3,Female
50247,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,122.01,2,0,1,Male
50248,0,8.0,Established (7-12m),STANDARD RISK,0.0,1.0,165.4,4,0,1,Male
50249,0,0.0,New (0-3m),STANDARD RISK,4.0,1.0,138.16,4,0,1,Male
50250,0,1.0,New (0-3m),STANDARD RISK,7.0,1.0,152.53,2,0,3,Male
50251,0,22.0,Mature (13-24m),STANDARD RISK,0.0,1.0,145.0,3,0,1,Male
50252,0,24.0,Mature (13-24m),STANDARD RISK,7.0,1.0,149.36,2,0,3,Female
50253,0,9.0,Established (7-12m),STANDARD RISK,2.0,2.0,125.43,3,0,1,Female
50254,1,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,153.04,2,1,3,Male
50255,0,28.0,Loyal (25m+),STANDARD RISK,2.0,1.0,266.59,2,1,1,Female
50256,0,0.0,New (0-3m),STANDARD RISK,3.0,1.0,142.6,3,1,3,Female
50257,0,3.0,New (0-3m),STANDARD RISK,0.0,1.0,124.76,4,0,3,Male
50258,1,0.0,New (0-3m),STANDARD RISK,4.0,1.0,131.02,5,0,1,Male
50259,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,122.44,4,0,1,Female
50260,0,9.0,Established (7-12m),STANDARD RISK,0.0,9.0,175.96,3,0,3,Male
50261,1,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,122.85,2,1,1,Male
50262,0,10.0,Established (7-12m),STANDARD RISK,17.0,12.0,130.34,5,0,1,Female
50263,0,13.0,Mature (13-24m),LOW RISK,3.0,1.0,157.15,4,0,3,Female
50264,0,15.0,Mature (13-24m),LOW RISK,2.0,1.0,125.76,5,0,1,Female
50265,0,10.0,Established (7-12m),STANDARD RISK,1.0,1.0,141.97,4,1,1,Male
50266,0,16.0,Mature (13-24m),LOW RISK,9.0,2.0,243.36,4,0,1,Male
50267,0,13.0,Mature (13-24m),STANDARD RISK,0.0,1.0,134.48,3,0,1,Female
50268,0,27.0,Loyal (25m+),LOW RISK,2.0,1.0,294.06,5,0,1,Male
50269,0,7.0,Established (7-12m),STANDARD RISK,2.0,1.0,165.38,3,0,3,Female
50270,0,4.0,Growing (4-6m),STANDARD RISK,12.0,3.0,143.06,5,0,1,Female
50271,0,9.0,Established (7-12m),STANDARD RISK,2.0,1.0,122.58,2,0,1,Male
50272,0,16.0,Mature (13-24m),STANDARD RISK,2.0,1.0,145.22,3,1,1,Female
50273,0,0.0,New (0-3m),CRITICAL RISK,3.0,1.0,144.87,2,1,3,Female
50274,0,10.0,Established (7-12m),STANDARD RISK,7.0,10.0,144.49,3,1,1,Female
50275,0,9.0,Established (7-12m),STANDARD RISK,2.0,3.0,122.18,5,0,1,Male
50276,0,12.0,Established (7-12m),STANDARD RISK,6.0,1.0,291.97,3,1,1,Male
50277,0,29.0,Loyal (25m+),LOW RISK,7.0,2.0,232.12,5,0,3,Female
50278,0,3.0,New (0-3m),STANDARD RISK,4.0,4.0,165.77,3,0,3,Female
50279,0,14.0,Mature (13-24m),LOW RISK,7.0,1.0,183.92,5,0,3,Male
50280,0,1.0,New (0-3m),STANDARD RISK,8.0,1.0,145.58,5,0,1,Male
50281,1,0.0,New (0-3m),STANDARD RISK,2.0,1.0,140.31,5,0,1,Male
50282,0,25.0,Loyal (25m+),STANDARD RISK,4.0,1.0,179.69,3,1,1,Male
50283,0,18.0,Mature (13-24m),STANDARD RISK,2.0,1.0,126.54,2,0,1,Male
50284,0,25.0,Loyal (25m+),STANDARD RISK,4.0,1.0,265.55,2,0,1,Female
50285,0,15.0,Mature (13-24m),STANDARD RISK,2.0,1.0,145.56,3,0,1,Female
50286,0,3.0,New (0-3m),STANDARD RISK,2.0,1.0,160.91,2,0,1,Female
50287,0,30.0,Loyal (25m+),LOW RISK,10.0,11.0,295.66,5,0,1,Female
50288,0,19.0,Mature (13-24m),STANDARD RISK,8.0,1.0,148.1,3,0,1,Female
50289,0,15.0,Mature (13-24m),STANDARD RISK,4.0,1.0,145.23,2,0,1,Female
50290,1,0.0,New (0-3m),STANDARD RISK,4.0,1.0,132.02,4,1,3,Female
50291,1,0.0,New (0-3m),STANDARD RISK,0.0,1.0,123.51,3,0,3,Female
50292,0,9.0,Established (7-12m),STANDARD RISK,0.0,1.0,117.02,2,1,1,Male
50293,0,13.0,Mature (13-24m),STANDARD RISK,12.0,1.0,280.41,3,0,3,Female
50294,0,0.0,New (0-3m),STANDARD RISK,2.0,1.0,128.86,2,0,1,Female
